CG3358 CG1550
CG8292 CG16904
C901 EBI-94564
CYCH CG15043
MOD(MDG4) DOX-A2
EBI-148930 CG5053
LBL PK17E
RAC1 SPRI
CG15308 CG13030
MED15 SIRT2
FD59A PROS54
CG13838 CG5199
CG11581 ARR1
CG14011 CG10654
EBI-183080 CG9184
CG13084 EIF-3P40
CG15440 RPS29
EBI-208011 CG5376
EBI-200489 ARI-2
COVA NMD3
PPN ARET
CG5027 HRB87F
CG17331 MED15
CG4415 EBI-119138
CCP84AD CG11880
CG1894 CG6842
RAS85D SCR
OKR CG12190
LCP2 EBI-180418
EBI-207496 CG7324
GM130 CG5334
CG4766 CG12393
NINAC CG17153
CV-C EBI-143697
ELB EBI-128385
EBI-208011 CG31357
CYCK EBI-206443
QKR58E-3 HN
ASF1 EBI-522090
EBI-127547 CG13731
MAD NUMB
EBI-196643 CG3918
CYCH CG18273
CG32581 UBCD2
CG11882 MEI-S332
SWA YIP2
TFIIA-L DEI
ATTA SGT
EBI-183535 CG17211
CG2865 CG15529
SLOU MST84DA
M(2)21AB CG1381
CG17777 MRPS26
CG4896 RAPS
EBI-199603 ODA
LECTIN-30A SEP2
PNN CG13083
CG6196 CG5011
CG32772 BSG25D
OPA CG8319
CG6017 DMRT93B
DIK CP18
UBCD4 MST84DA
MLH1 CG31224
CG11380 CG5147
CDC37 UTA
CG15861 CG11286
SU(FU) STG
EBI-90739 CG11076
HRS KTO
OFS CG13067
EBI-84244 R2D2
HSP60B EBI-214451
FMR1 CG4328
EBI-131530 EBI-122233
RAC1 CG2278
EBI-200752 EBI-200752
AND EBI-134465
EBI-164534 SNR1
SOS CG15631
CG13877 ANNIX
SU(VAR)3-7 SU(VAR)3-7
RAB6 CG33110
EBI-179939 BICC
SNR1 CG14939
CG7352 CG7139
CG6441 CG7447
CG11489 EBI-169125
CDLC2 CG8262
MRE11 GCL
CG8316 L(2)NOT
MAD2 EBI-128171
PP1-13C PNUTS
CG13625 CG33980
EBI-101527 BIN1
EBI-197717 EF1BETA
EBI-155160 PAT1
SSRBETA CG32594
SYB CG5886
KING-TUBBY MEI-S332
CG10366 VHAAC39
CG32758 CG15459
CG11656 CG10750
CG18764 CG1792
HBS1 CG13131
LPR1 CG13476
CG17834 P38B
CG17219 CG6447
CG6933 CG9526
SCRIB CG3921
CG15293 L(2)05714
CG12433 TRAL
CG4896 CG13043
CG13604 CG13624
CG13287 CG4617
N MIB1
MSB1L CG14301
SPI SOCS16D
CG9573 CG11248
CG12661 CG2865
CG7928 CG8301
LCP2 CG31184
EBI-197717 EBI-86340
PABP CG5471
MAD2 SMB
HP1E RPS20
CG31036 EBI-190547
EBI-147266 CG11247
EBI-83112 RPL31
CG3371 CG4802
BAP60 CG2865
INAD TRP
CG11247 GLUCLALPHA
PAK ART7
EBI-162921 CG12470
UBX RAD23
CG5346 EBI-197099
CG8159 ADF1
CG14089 OHO23B
CG15545 HMX
ACYP CG7742
CG3492 TRAF3
CG15564 LPR1
CG7628 G
TINC OC
CG4520 RPL5
PER ACP1
CG15152 FAN
NTF-2R CG12081
CG17777 EBI-252067
H2.0 CG7017
CG16728 RAB1
SYTIV CG9205
CRK CG31082
EBI-230517 CG14126
KLP3A EBI-155731
CG15308 CG11076
CG9510 EBI-213208
CRN CG3508
CG2865 CG17186
LMPT ALIX
BJ1 CG13005
RUX BAP60
CG2865 CAP-D2
RPB10 CG4936
CG3754 ARR1
EBI-168011 RPS3
CG12432 SNR1
CLP ICS
CG13510 EBI-90739
CG4325 CG1137
CG11486 CP36
EXO84 CG4030
RL MEKK1
CHN BHR
CG14853 SPAS
UBX SMOX
CG7928 EBI-130802
EXOSC2 RRP46
HLH4C YKI
CG9099 CG32068
MYO10A CG10354
EBI-103310 EBI-103310
SYX16 PHDP
HLHMGAMMA ASE
AL JON25BIII
CDC2RK DIMM
MCM5 MCM3
CG9624 CG8813
MUS209 RFC38
CP36 CG12018
MUS309 CG31224
CG9986 CTP
RUX LIP3
TRN PEP
DL DL
RAB11 PHYL
EBI-101527 CG5640
HRS VHAAC39
CG9986 EBI-163938
CG17599 CG13083
EBI-197717 MST84DA
SIP1 CG13966
CG8117 CG14617
EBI-107078 BAP60
CG8745 HLH4C
EBI-160257 CG14977
CG13138 EBI-199389
CG13625 CG5376
CYCC ELF
CG15031 CG14869
CG12708 EBI-151216
E2F2 CG17508
EBI-167404 MHC
EBI-197717 EIF-5A
VPS20 PK92B
CG7296 RUX
CG5768 MRG15
RAPS MEI-S332
ESG RPS25
CG10510 EBI-127204
CG8455 CG11266
SRY-BETA SELD
CG3081 PIF1A
CG15295 CG4334
RAPS ART6
TRUS PFK
CG5149 EBI-150889
EBI-100350 CG11164
CG5890 ACP26AA
CG8455 PP2B-14D
CG30492 CG6833
CG17568 CG8159
VAS ARET
ARPC3B EBI-205338
MOE OTU
CAPU RHO1
EBI-208011 CG14126
PTC DOK
PUF68 EBI-183849
CG8228 PHDP
CP36 EBI-239336
PAK SLMB
EBI-182205 RPL19
MER BAP60
TCTP RDX
CG16721 CG5792
CBP20 CKIIALPHA-I3
PRC CG6921
MTS EBI-99585
CG11006 CG15422
EBI-101025 EBI-197428
CG33275 EIF-4A
CTA FOG
TEKTIN-C CG8679
EBI-105310 CG16947
RHOGAP68F CG6164
PP1-87B CG6416
EBI-205381 CG5537
C(3)G YRT
CG14931 TSP
EBI-128409 CG11035
TIM10 EBI-93158
CG12470 CG9836
CG9572 CG10263
OTK PLEXA
C901 EBI-149983
CG14534 GTP-BP
EBI-183080 CG10992
CORP CG8003
CG9941 CG12861
CI COS
CUL-2 SMG6
CG6800 EBI-128385
MST98CA G9A
CG11092 TPS1
CG8965 SMG6
RPT4 CG11266
MOE EBI-131186
EFTUM VHA68-2
SAV CG3689
TSG EBI-94564
DUTPASE SZAR
SMB OSM-6
CG7484 CG15631
SCP2 CG1970
X11L CG9795
CG31482 CG12470
ROC1A BRK
CG5846 CG14528
EBI-204756 CG4328
INVADOLYSIN CG9911
CG14207 CG5740
CG5674 CPR97EB
CG7257 RPN1
EBI-191695 CG12985
ZEN CG32584
EBI-128385 EBI-169442
MASK CG1894
TAF12 CG5010
EBI-109052 E(BX)
MER DYB
OKR BTBVII
MSI ARET
RHOGAP68F CYP6A9
HPO EBI-185028
EBI-132327 WDB
CG4896 DBE
BIGMAX MIO
COVA RPLP1
BETAGGT-II CG18745
CG17778 CG12433
EBI-161433 CG11486
EBI-213208 CP1
CG5642 CG5892
RCA1 EBI-133084
CG15352 CG12000
HIS1:CG31617 HMGD
EBI-197069 CG5537
ARF51F CG11089
EBI-119138 PTEN
EXP6 EBI-180418
CG14418 EBI-151216
CG11151 CG14815
H H
LOK PP1-87B
CI CG6933
CG4289 TOR
EBI-90739 EBI-158400
EBI-75953 RPD3
CG11409 EBI-182816
EBI-199603 CHC
MTS PROS54
CG12393 BCD
SIRT2 CG14816
CG11327 CG2124
POXM RPS12
KOKO STAM
CG8630 ARF79F
CG12200 EBI-162921
CG3625 SNAP
UBX RPS13
APKC BAZ
DCR-1 AGO2
C901 EBI-189320
CG14612 CG31211
CBY CG15576
CG13138 CG7349
RPL22-LIKE EBI-130561
CG11380 MSR-110
CG6163 EBI-206607
RUX CRN
CG3075 CG3891
FZO CG4820
CG13045 CG17777
F CG13022
CYCJ SPN-A
CG9925 EBI-220185
CG4896 CG15022
RGL R
KLC EBI-149119
CG14317 MNB
CG3430 CG3016
STY CG13731
TRAF3 CG8301
EBI-204445 EBI-165218
PCS CG7757
MUS309 CG10543
PLU CYCK
CG16884 UNR
CG17666 FKH
RPLP2 EBI-197428
CG9248 SPN-A
PUF68 CG14224
CG9784 CKIIALPHA-I3
MAD EBI-177649
CYCK CG12985
CSN1A ADA2B
GRANNY-SMITH EBI-151216
CG11404 EBI-105787
ENA ROBO
CRC CG32159
ACT42A HEM
CG4764 CG5625
BRK CTBP
CYCD CENG1A
CG12589 CG3085
EBI-96930 CG7974
EBI-133084 RAS
CG15472 CG5376
EBI-152886 L(1)G0230
OBP58C CG10254
CG17450 EBI-90277
SKPA CG6758
TGO EBI-867721
CG3056 CG9572
FBL NUP153
SIP1 CG6425
CG12782 CG11266
MLP84B CG10722
ARF51F RLIP
EBI-90335 PROS29
EBI-190547 CG13458
CPR11A SGT
STAR1 EBI-152228
CG5144 BAB2
CG14133 CG13476
CG3683 HOMER
RAW HSC70-4
EBI-151243 MKG-P
EBI-127260 CG14534
CG10566 PICK1
EBI-185748 CG17331
RAP2L CG8446
MED6 ACON
EBI-163776 CG14534
EBI-139956 CG18005
CG4066 CG14612
CG3911 EBI-146089
OBST-B EBI-266321
EBI-136574 MNB
SPIR EBI-121415
EBI-105455 ATPSYN-BETA
CG16894 DNAPOL-ALPHA73
CG15423 EBI-204491
TERM EBI-195439
EBI-174007 GR43A
ST ENO
CG17162 HLH4C
P53 ERR
IPK2 FUCT6
CG3754 CG1745
MED28 FDH
CG7787 CG10263
MBS EBI-147579
RDX ALPH
EBI-175261 CDLC2
CG34401 EBI-129638
CG10440 CG10440
EBI-89218 FU2
CDC2C EBI-1012355
CG14506 FTZ
DRM CG7101
CG12393 HIW
EBI-147266 CG4281
CG12344 CG6447
CG7928 IPK1
CG40127 SU(HW)
IRBP GRH
EBI-175035 PGRP-LC
CYCC EBI-160257
PLU CG18745
CG13287 HP1B
CG32810 CHER
ES2 GM130
MIRO CRN
SNAPIN CG8206
CG13576 RPS16
EBI-165118 MRPS26
ESN HRP59
EBI-154110 GLO
CG8173 CG11076
TOS EBI-130802
CG14119 CPR72EA
TEKTIN-A CG12519
CG14534 MED26
MTS CG31626
CG31140 ACON
CG14868 PAIN
PIM SSE
HOMER CG4945
CG1104 CG14246
CG14671 RAW
CG9911 EBI-184456
CG13840 JON99FI
CG2865 EBI-172044
CG12985 CG13083
CYT-C-D CG5792
CG8301 CG10263
HBS1 ZEN
EBI-160257 EBI-97544
CYCD BCD
CG14216 ALPH
CG7054 CG11164
LAMA EBI-136651
EBI-195768 7B2
ALD EBI-466537
SU(R) EBI-140936
CG32086 RPL13
TOY CG2263
L(3)L1231 OHO23B
EBI-119138 CG7211
EBI-145169 HOMER
CG14985 EBI-210979
MED6 SGT
CG15031 CG12470
EBI-199603 EBI-190531
RDX CG31012
CG31802 CHINMO
CG31163 SNR1
ZN72D EBI-192208
CG8942 DPH5
MNB CG6923
EBI-133084 CG32169
MPK2 EBI-458616
CG1138 CG17802
CG17032 CDLC2
EBI-100834 YL-1
ARF51F CG34349
CG9040 RPL22
CG8965 ALPHA-SPEC
SRY-DELTA CG6543
CG3085 NLAZ
CG10981 EFF
PMS2 CG32138
CG9986 CG13564
SPI D19B
EBI-92440 CTCF
CG1999 BHR
UBCD2 BX42
EBI-153308 EBI-140174
HSP67BA MTP
SLOU EF1ALPHA48D
CG17377 CG17377
CG13074 RPL19
CG9902 CG10348
CG14071 CG31224
RAC1 WASP
HP1B DNAJ-1
CG14410 NUCB1
EBI-195262 CG6333
CG3918 TJ
CG8541 CPR62BB
ZFH1 CG14005
EBI-100575 LSD-2
CG4804 CPR64AD
CG11275 WIT
CG13843 CG13843
CG9972 BOL
CG11350 CHER
TLL ATPSYN-BETA
CG5225 CG17666
TSP CG15022
SRP68 EBI-252103
RAP2L RHOGEF2
EBI-133084 PGRP-LA
CG11581 ROLS
HYX HK
CDK5 REV7
CG14995 CG15208
CG5027 EBI-154548
CG6444 MTF-1
RAPS RPS25
RAW PIX
SUCB CG32169
EBI-219913 SAP-R
CG13030 CG14712
CTP CAPU
CG13045 LARK
CG9641 CG2199
CG6745 EBI-228648
ATPSYN-D CG11881
CG9986 CG13623
CG9083 CG14204
CG9467 CG10032
WUS RPL32
EBI-86340 CG14224
RPL4 CG4617
CG14224 ELA
TLL CG15478
CYCK EBI-133675
FLW CG5792
CG8449 PAK
SPI KEK1
EBI-170192 CG7879
EBI-162921 EBI-142201
CG13996 CG10550
CG4753 SPN5
EBI-107965 DF31
STC SEC23
VINC PAX
EBI-114261 HIS2AV
TEN-A EBI-113263
IPK2 EBI-192791
CG32406 EBI-197717
IRP-1A EBI-233810
CG3529 CG9795
CLP CG17666
CG8455 CG1120
TBPH EBI-110730
CG14830 CG6833
CG14696 CG10263
TBPH CG41099
EBI-167768 ARET
DL CG34422
CG7257 PROSALPHA6T
PIP CG10996
PCS BETATUB56D
HR38 USP
CG16826 BSH
EBI-198400 WEK
EBI-86381 UNR
CG14030 CG10263
MER L(3)L1231
CG33980 CG5791
ARU CG12861
CG7742 CG17801
EBI-194303 TH
SPN-B CG9890
CG2540 EBI-202016
CG17855 RPLP1
SINA GIP
EBI-119138 CG5468
CG2116 PHYL
PIGEON QM
EBI-193871 CG14639
FLW CG2185
CG10591 CG8292
BETAGGT-II OGRE
CG8417 FAT2
L(1)G0004 HLH4C
CG1544 CG10674
CG8292 CG32068
PEN CG14995
CG31999 CHC
MSB1L CG1678
CG6808 SMB
P53 TOPORS
EIF4E-5 CG5732
APPL CYP2G1
CG17319 TCTP
CG14578 CG5130
NCA CG15370
CG14864 CTP
CG34383 P115
CG12393 CG15676
FMR1 EBI-200614
CAMTA CALM_BOVIN
CG6843 RPL27A
CG13811 CHER
RDX CG18854
MURA GRASP65
NPC1B RPS25
LIMK1 CG2889
BGB CG5665
CG10882 CG2962
CG17568 CG5078
CG11327 EF1ALPHA100E
CG15771 ROP
EBI-144082 CG14252
EBI-85123 HSP23
FZ WG
CG12393 CG17271
CHIP EBI-204491
CG14957 CG10806
CG14708 CG6719
CG8965 HLH4C
CG11168 RPL22
BEAT-IA CG6904
TERM STCK
CG6985 NOCTURNIN
CAM CRAG
EBI-190471 CG14506
CG8219 TGO
CG7352 PGM
HSP60C CG12470
SIRT2 CENG1A
CG5280 CG15646
EBI-136574 EBI-130549
KEAP1 PUG
ROX8 CG13731
EBI-160257 CG11652
CDC2C CG5708
CG14204 MOD
CG17666 ODD
CG7242 CG6856
EBI-82680 EBI-196643
SAK CG12723
EBI-194749 MEI-S332
ELFLESS EBI-86340
CG6854 EBI-176411
ECO EBI-190547
NUP98 SPO
CG17025 CG10263
CG34382 PAR-6
CG14030 CG4328
CG10909 CG11148
PALL RAS85D
EBI-229599 CG8301
CG18616 CG7841
NKD IMPE1
CG5096 CG7810
CG13541 CG9467
CG7236 CYCK
CG11247 CG11775
EBI-198400 CG11885
CG6497 RPS10B
EBI-167768 TH
EBI-194372 CG10671
CG14543 SPS2
CG32736 CG3812
HLHM7 CG9173
CG31211 CG12470
CG14805 STUMPS
CG7352 GRIP71
MLC1 EBI-2107797
CG17362 EBI-128334
SEC10 L(2)35DF
CG7173 CG9296
PIF1A CG10164
CG15578 CG9083
EBI-196732 UZIP
CG33213 ALT
ARK ARK
EBI-111569 KSR
PTC EBI-147195
EBI-190441 CG11314
CKIIBETA DEI
DNAJ-1 EBI-191552
CG14071 CG17153
CG11790 CG10664
CPR64AD CG15211
EBI-119138 EBI-269332
CG13379 CG14612
CG17712 CG17712
CTR1A SMB
CG8965 KAP-ALPHA3
CG10948 CG6763
CG13474 MBO
SNR1 CG15646
PI3K21B UNC-76
EBI-109399 EBI-106054
SIRT7 CG33523
CG6972 DELTACOP
CG14868 RPL5
CG13913 CG6398
MSI MST98CA
CG13999 CG14186
GFT DLL
GM130 CG9426
SPI PGANT6
STAR1 EBI-200569
CG1986 EBI-128425
MNB RSG7
JUPITER EBI-167548
IMPL2 CG12470
FCP3C HALE
CG4835 HTH
CG12581 JON25BII
CPR35B CG17666
EBI-175035 FUCTD
CG11266 CG31997
CYCK CG15422
PHYL EBI-198120
TSG101 MUS210
CG18301 CG17259
CDK5 CG4858
FTZ-F1 RPS8
PAT1 CG11896
CG15293 SU(VAR)205
CG13843 CG2865
E2F2 CG12723
CG10703 KAP-ALPHA1
SPX CG11266
CG18217 P24-1
CG9588 FZO
SPIR LPR2
PHYL BETATUB56D
CG11560 CG4229
HSP23 CG2199
CG14098 CG1324
CPR73D CG5708
CG15576 CG32446
SEC5 LAP
EBI-119138 CG3831
EBI-183535 CG17612
GRIM RPL22
CG13913 CG5476
EBI-123236 CG5708
GFAT2 PRC
EBI-259423 BAP60
CG8417 EBI-200614
CKIIALPHA PHDP
SO CG1218
NOI EBI-137286
CG2107 RIC8A
ROK RAC1
ATG5 CG5045
RAPS CG2865
PIE PHDP
CG30183 NMO
EBI-101212 CG5792
STAR1 RPL23
CG11566 CP1
CKIIALPHA CG12672
PTP69D ENA
CDK5 CG8993
KING-TUBBY CG7757
EBI-200752 USNP
EBI-151120 CG31646
LA EBI-122644
CG3075 DNAJ-1
CG17085 CG14232
P53 CG11963
EBI-111518 RAPS
ELFLESS RPS26
NEDD8 EBI-94044
EBI-107965 CG17018
RTGEF CG15816
RAPS RAPS
CG15200 CG9624
CG11486 CG7824
EBI-120797 TIP60
SIRT4 CG11293
CG5565 EBI-157685
MUB PS
RHOGAP92B CG18619
CG3332 CG8863
EBI-161602 BIP2
NEJ PHDP
EBI-530681 EBI-210979
SPI EBI-499742
CG3557 EBI-168011
CG3081 SCSALPHA
PNG TRAF3
TERM MTS
CG10343 EBI-89218
CG2046 EBI-192705
CG32809 CAMKII
DCR-1 RPS3A
CDLC2 CG5118
SKPA CG9772
CPR67FA2 CG10251
MLH1 MUS205
PEB CG8942
EBI-205381 CG9014
CG3075 EBI-199389
EBI-132327 EBI-121063
CG7196 EBI-153383
DISCO ROP
STAR1 CG4364
CG4325 CG14556
PRC BUN
SALA CG32711
CG11723 CG5913
CG6017 SOG
CG3021 CG2641
INVADOLYSIN SANTA-MARIA
CDC14 CG13900
CACT CACTIN
EBI-161985 C15
CG18375 CG5053
QM CG3004
EBI-162907 BBX
PLU EBI-128385
EBI-219164 OPA1-LIKE
NURF-38 HN
CG31802 DHC16F
WUPA ARGK
CDC37 CG5241
CG6393 CG11164
TBPH CG13502
CG17331 PROSALPHA7
HLH4C CG14667
CG12404 CG5484
CG32736 BETAGGT-II
CG9902 CG8145
CYCJ CPR64AA
CG1120 CG4785
CG5053 CG7818
EBI-155060 CG3556
GLYCOGENIN FDL
CPN RPS20
CG8793 CG9576
CG10694 CG12728
EBI-151216 EBI-134407
VND CG3244
CG14641 CG9911
CG7196 EFF
CG6126 DAB
CG2246 EBI-115672
EBI-88363 RPL23
ENA DRK
TRAF3 ALPHATUB84B
TEKTIN-A CG1681
CI MSP-300
CSN1A RPS8
EBI-83112 CG1077
EBI-195768 CG12470
MED6 EBI-113533
ARC-P34 EBI-2109075
CG1135 RPL13
SHC RPL4
PUF68 CG7548
INV EBI-160292
EBI-147266 CG13679
EBI-146492 CSTF-64
CG6654 CG8159
CG14820 CG7033
CYP9F2 EBI-141947
EBI-188698 EBI-116983
CG14543 BAP60
NOMPB CG17221
HLHM5 HLHM3
CG12155 CG12155
EBI-199701 EBI-128409
EIF4E-7 EBI-195890
CG11699 FOR
EBI-212395 CG13728
CG15545 EBI-97245
PRM HRP59
CG6800 SPN-A
CG30497 CG5665
PROS28.1 EBI-1446762
CG5343 CG17599
PB SCR
EBI-199389 EBI-199389
PROSBETA5 PROSBETA3
EBI-111518 CG15436
HN CG5508
APC2 SGG
GRIM SKL
SCPR-B ORCT2
CG8965 SULF1
EXD SCR
CG14410 CG9184
EXOSC2 MTR3
MUS309 CG31323
CG12521 EBI-98927
CG14708 APEPP
CI PXT
CG2046 RPL27
PTP4E CG18284
EBI-190547 CG14243
SKPC CG14937
HRB27C CTBP
ESN CG13030
BM-40-SPARC CG5708
TEQUILA EBI-197901
KLP3A CG13358
CG15578 CG11275
CG15293 EBI-177882
DOCK MSN
FMR1 CG7671
PAF-AHALPHA PP2B-14D
EBI-208575 CG2747
UBX EBI-144692
CG5359 CG9063
EBI-116558 DAB
CG18217 CG15056
CG15525 SRP54
IRBP L(2)01289
CG4896 E5
CG11566 PXT
ROX8 CG13047
CG18292 TAP
CG10943 EBI-104625
LCP2 CG11275
CG8768 CG11896
CG14168 PHDP
CSN3 P115
PEB MST84DC
ES2 CG7352
CG14119 CG9184
HALE CG6770
HALE AXS
CG7066 EBI-110745
CG17360 RPL15
CG12975 DIK
CG7716 EBI-82680
IP3K2 CG7955
CG9027 CG1324
CG9986 EBI-192791
CG17856 CG8907
ALD CG9776
CG15239 ACP95EF
CG10581 EBI-204491
FLW JOG
MST98CA YL
MER CG9934
PMS2 CG33129
RALA EY
SIP2 EBI-194578
VANG VANG
EBI-121063 SIRT4
CDC2C CG10600
EBI-89248 GATAE
RB MICAL-LIKE
CG11417 EBI-142836
RECQ4 HR39
SUV4-20 CG8942
EBI-113600 SMB
EBI-146492 CG9572
EBI-195768 CG32570
GOLGIN84 CG5026
CG3713 CG5798
CI UBA1
CG3995 KRZ
EBI-232330 CG6770
ZN72D TRAL
MER CG4064
CG17904 CG4858
ARF51F CG2862
CG14868 CG7757
EBI-100575 EBI-158755
CG9986 CENP-C
CG14905 CG8942
CG4756 MBD-LIKE
EBI-203651 CG3209
CG34376 MST84DB
CG5053 CG18854
CG17446 CG8924
PALL CG31080
AGO RPL7A
CG16812 CG4936
SIRT4 CG10032
PRM CG14625
KNRL BRK
EBI-170625 RPL9
MOE CG17109
SLMB EBI-497938
NACALPHA CG5376
CG4282 EBI-196732
EBI-184213 GRP
CG18259 CG9426
HSP23 EBI-74966
CG14044 GAP69C
SWA EBI-128334
MRPS17 GIP
CG8997 TIS11
CG13085 CG2185
CG9986 CG10550
RDX EBI-132318
OATP58DB CHINMO
CG3081 EBI-103820
CG6569 FUR2
EBI-212772 CYP4S3
XPAC XPAC
MAD TAMO
EBI-203567 CG5360
STAR1 RPS26
SALA CG17666
RBP4 EBI-149231
CG2713 CG3618
TNA CG3016
CG8965 HANG
DNAPOL-ALPHA73 CG8942
CG12124 GNU
EBI-190441 SHEP
CG12521 CG13458
EBI-190547 CHD64
RDX CG16904
CG4896 HLH4C
CG11454 EBI-123443
KLC KHC
MER PATJ
CG9527 CG4653
YP2 NUP107
ODA TIM9A
MCM5 CG18745
CG8368 BICC
EBI-213208 CG5288
CG6444 CG11380
AXN ESN
EBI-497141 CG33932
MLE CG4822
BAB1 BIP2
HALE CG2052
LSP2 EBI-117913
CM CG14965
EBI-189006 ZFH2
RAC2 CG17162
CG13022 HSC70-4
NCA RPLP0
CP190 MOD(MDG4)
CG3536 LOQS
SLOU CG9572
CG11248 CG12679
CG16984 SPZ3
CG15141 ATPSYN-B
EBI-199603 EBI-254805
KO CDLC2
SBA CG12470
MBT STIM
CG9511 OR59C
REV7 CSK
ES2 C15
CG9319 CG11581
EBI-238554 CG3071
TOY BETA-SPEC
CG11672 RIN
CG4278 CG4278
CG3548 CG3548
VPS20 CG6398
MLP84B TUP
CG12393 ECR
CG8942 FAF
CG9986 CG4168
CG31217 RPLP1
CV EBI-196732
CG6439 A16
CG2246 PSR
CI MEN
CG6945 CG8927
RHOGAP92B SISA
SUCB CG11486
CG13840 MTS
PTC EBI-91014
CG7168 STG
CG12116 CG8539
CG5357 BAP60
EBI-186934 CG10340
LOQS CG8165
CRK EBI-161439
CG13972 CAM
CG4766 CG12020
EBI-125339 CTP
MUS81 CYCG
CG15436 CG8301
CG31291 CG12620
C901 NAT1
HPH VIH
MTHL8 TSP
BRM MOR
CG4804 ALPHA-SPEC
RPII33 PAR-1
CG8965 SOX102F
CG15152 L(1)G0431
EBI-128409 CG9149
CG5933 CG17086
CG11327 SHRB
CG4887 BLOT
CG9288 MBD-R2
KHC NOD
DX CG14625
CG32700 CG3815
RPS26 CG1531
CG17244 CG10743
GAS8 CG12001
CG31090 HLH4C
ATAC1 SPN-A
CG5933 CG9014
CG7835 CG7864
AP-50 EBI-210182
CG4854 CG15436
PHYL PROS28.1
CG11882 EBI-87578
CG8965 CG11696
CG14534 RPS3
L(1)G0255 A
CG3225 EBI-130934
CG8219 CSAT
FLW NEB
NINAE NINAA
CG5053 EBI-143209
ARP11 EBI-110745
CG9772 CTP
EBI-196732 CG17666
CG9014 WEE
CG14062 CROL
TOY MNT
CG6416 CG14534
EBI-170192 CG11523
EBI-102459 EBI-162306
SSH TSR
EBI-151216 EBI-200752
CG13373 CG14619
EBI-144341 CG11265
HP1E EBI-128425
CRN CG13458
CG7371 CG13624
ROLS EBI-193853
LIM3 EBI-145669
MRPL14 CG7196
CG12289 WNTD
CG1017 CG1135
CG16890 EBI-114906
PROSBETA5R1 CG15459
H E(SPL)
CG31562 EBI-137286
CG31211 CG11164
MBO NUCB1
EBI-191255 EBI-105703
EBI-208011 CG3492
SNM1 CADN
CG4194 EBI-89179
CG9986 CG32267
CG2046 GTP-BP
CG7231 RAPGAP1
CG3662 CPR73D
CG15170 BRK
CG9928 EBI-269332
PNN RPS7
HNF4 CG11164
PCS EBI-74966
TSG101 RHEA
EBI-197069 CG5376
CG2021 CG17768
CG31523 DM
CG1647 RAPS
ALPHATUB84D NCD
SUCB CG12393
EBI-163966 RPII33
HLH3B EBI-74966
CG2540 XBP1
CG13630 CG14534
EBI-128171 EBI-136651
HLHMDELTA CG12470
BOCKSBEUTEL CG5762
OPA SOL
CG2116 RPL8
BUR CG10616
EBI-109062 LARK
EBI-165707 CRC
CG4887 EBI-86340
EBI-151216 CG4617
CG14011 CG7386
CG11275 RNRL
CG9941 SOL
CG11350 CG9411
CG9099 MEI-S332
CG1104 RPS15AA
CP38 CG31973
SNR1 CG12581
CG6843 EBI-162921
CDC14 DLL
CG15370 FUR2
EBI-122014 CG1578
BAB1 BAB1
CUL-2 CG17508
HP1E HSP70AB
CG3021 CG10263
CG16728 RNPS1
NEOS XBP1
CG15440 CG12377
OTE CDC2
BM-40-SPARC CG9723
MSB1L CG2233
TRA TRA2
MLP84B CG8942
CG8316 CG6770
CG11327 CG14694
MTS PROS26.4
PUF68 EBI-172258
CG13838 GEM
CG11905 CG5062
CG31958 CG40127
MAD CG12436
CDC37 AUR
CG9986 TCTP
SPN-B PROS54
DAP EBI-458558
CG31477 RPL21
CG8316 EBI-115418
CG18649 CG4612
CG9596 RPP30
TRUS CG7671
CG1324 CG1635
CG11275 PNT
PEB LANB1
EBI-199701 CG32560
CG9248 CG13806
CG31029 CG8786
CG6905 CG6856
STC EBI-187555
CG18616 CG13567
EBI-137887 LK6
CG8177 CG8942
CPB EBI-177745
CG14079 EBI-206656
EBI-123236 CG11658
CORO SKPA
RBP9 CG18259
CG14805 CG10263
GALNAC-T2 CG1677
CG32584 RPLP1
CCAP CG5890
CNN SINA
EBI-131530 EBI-194372
EBI-105310 EBI-82680
MRPL9 EBI-198400
SPX CG17018
CG17377 EBI-86055
EBI-208282 CG10979
DAP CYCC
EBI-208575 EBI-167573
UBC84D EBI-159623
TAF12 EBI-93840
SUV4-20 CG17666
WASP CG7251
EBI-193297 SOP2
BTL STUMPS
BSH CG9232
CG15737 BETATUB56D
CDC2RK CG11486
RBF E2F
EBI-128385 CG12000
CYCH SPN-A
CG31999 CG31224
CG1324 CG18806
CG9572 EBI-231064
BARR TOP2
EC PP1-13C
CYCD E5
C(3)G CG5053
EBI-170347 EBI-103820
CG11566 EBI-195262
CG7196 RPL17
CG3605 CG18745
CG3295 CG2865
MED SMOX
CG15803 RPL15
MAD2 CG11380
CG8292 OHO23B
RAC1 CG5625
MER CG9005
CDLC2 EBI-176411
CG3160 USP
SUV4-20 CG7146
STV HSP70AB
CG14207 MTS
CG17450 CG3689
EBI-205042 SNR1
CG6416 PK17E
LOQS CG31140
ELA CG13047
EBI-119138 LOCO
CG4820 CG33115
TEQUILA EBI-191079
CG7757 CG4709
CG5454 ART6
CG17568 BY
EBI-186330 CG5466
CG10694 AUST
EBI-198509 GEM
MSI CG3244
SEC5 CG6770
SU(VAR)3-7 SU(VAR)205
CG3875 EBI-178079
HIS2B:CG17949 NAP1
CG5466 EBI-127204
CG6945 PAX
CG12377 EBI-114516
CG10274 CG15436
